ra,dec,Source,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,IPDgofha,IPDfmp,ruwe,phot_g_mean_mag,bp_rp,VarFlag,NSS,Dist,prob
130.37777345557,18.87181270801,660995230632845184,5.4679,0.0218,-36.281,0.022,-12.129,0.015,0.0477,2,1.106,12.515732, 1.235123,NOT_AVAILABLE,0,181.4527,1.0
130.37734193029,18.87157934346,660995230632845440,5.1592,0.1663,-36.544,0.194,-11.582,0.167,0.177,0,1.498,16.251886,         ,NOT_AVAILABLE,0,,1.0
130.16450645666,18.81822398459,660996020906770560,5.396,0.0229,-35.825,0.023,-11.802,0.017,0.0108,0,1.047,13.641169, 1.596146,VARIABLE     ,0,179.6354,1.0
130.23199226617,18.82611575937,660996295785836416,5.5438,0.1437,-35.572,0.125,-11.857,0.091,0.00531,1,1.017,17.311640, 2.839468,NOT_AVAILABLE,0,,1.0
130.24335534844,18.84613368294,660996330144479616,5.4426,0.099,-35.67,0.094,-12.622,0.068,0.0102,0,0.981,16.981367, 2.878518,NOT_AVAILABLE,0,,1.0
130.28633268114,18.86913885936,660997945052179584,8.4151,0.0601,-70.122,0.057,-25.196,0.043,0.0131,0,1.03,15.627326, 2.620627,NOT_AVAILABLE,0,120.1799,1.0
130.19821873007,18.9032553178,660998975844267264,5.3361,0.0451,-36.688,0.042,-12.923,0.033,0.0089,0,1.578,11.265072, 0.894317,VARIABLE     ,0,183.1336,1.0
130.26289465948,18.93188885042,660999491240341888,5.0198,0.0958,-36.428,0.093,-11.767,0.074,0.00981,0,0.979,16.885952, 2.826260,NOT_AVAILABLE,0,201.0196,1.0
130.49075627896,18.91166259579,661000693831238528,2.4871,0.1916,-36.491,0.205,-12.052,0.133,0.0412,0,8.889, 9.336361, 0.533011,NOT_AVAILABLE,1,,0.9
130.40240754625,18.90423749371,661001243587055616,5.3056,0.0633,-36.613,0.064,-11.925,0.045,0.0247,0,1.009,16.165894, 2.711776,NOT_AVAILABLE,0,188.5047,1.0
