ra,dec,Source,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,IPDgofha,IPDfmp,ruwe,phot_g_mean_mag,bp_rp,VarFlag,NSS,prob
118.8799477577,-60.94737382184,5290715507502414592,2.4431,0.01,-4.727,0.012,11.02,0.012,0.0179,0,0.974,12.113416, 0.791550,NOT_AVAILABLE,0,0.7
118.78982508238,-60.95063585043,5290715610581625472,1.9436,0.0266,-5.787,0.035,5.371,0.035,0.0118,0,0.964,15.811712, 1.612554,NOT_AVAILABLE,0,0.7
118.83900088894,-60.94625962695,5290715679301104640,0.7925,0.0891,-8.658,0.108,19.543,0.104,0.00852,0,0.991,17.895487, 1.725552,NOT_AVAILABLE,0,0.52
118.84754404088,-60.9445927615,5290715679301105152,1.7066,0.0543,-4.705,0.069,22.827,0.066,0.00992,0,1.071,17.003904, 1.893448,NOT_AVAILABLE,0,0.64
118.84457514125,-60.93716397634,5290715679301105536,2.5054,0.0778,-4.142,0.102,11.558,0.089,0.00783,0,1.047,17.599165, 2.554439,VARIABLE     ,0,0.7
118.95461078736,-60.97932759331,5290715885459617536,1.7379,0.0606,-4.352,0.079,13.773,0.073,0.00448,0,1.026,17.255602, 1.988535,NOT_AVAILABLE,0,0.7
118.96424830071,-60.96702105567,5290715919819356800,2.4086,0.031,-4.39,0.038,11.134,0.038,0.0113,0,1.03,16.005, 1.879725,NOT_AVAILABLE,0,0.7
119.00514476232,-60.95737708973,5290715954179096320,2.4394,0.013,-5.101,0.015,10.896,0.016,0.0173,0,1.101,12.876819, 0.965112,VARIABLE     ,0,0.7
119.03260851629,-60.95493098242,5290715988538836096,0.4109,0.0564,-5.978,0.068,16.753,0.07,0.0116,0,0.969,17.197723, 1.108805,NOT_AVAILABLE,0,0.56
119.03252384471,-60.95134603047,5290715988538836224,2.2899,0.0854,-4.458,0.101,11.2,0.102,0.00632,0,1.02,17.68756, 2.790361,NOT_AVAILABLE,0,0.7
119.02716290422,-60.94435788393,5290716057258313088,2.4193,0.0361,-4.482,0.044,10.691,0.044,0.00655,1,0.942,16.310823, 1.981535,NOT_AVAILABLE,0,0.7
118.97834652879,-60.94032037544,5290716229056924800,0.7382,0.1301,-7.068,0.15,12.926,0.149,0.0293,0,1.641,17.539803, 1.514671,NOT_AVAILABLE,0,0.52
