ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,IPDgofha,IPDfmp,ruwe,phot_g_mean_mag,bp_rp,NSS,prob
166.82526764896,-59.89413939684,2.5727,0.0854,-15.563,0.107,-1.272,0.091, 1.45e-02,  0,0.994,17.767818, 3.109281,0,0.84
166.83374835962,-59.8993328973,1.2813,0.0882,-11.563,0.114,2.184,0.099, 1.96e-02,  0,1.04,17.834232, 2.343067,0,0.62
166.81528864205,-59.86740847088,2.0149,0.2447,-10.96,0.289,4.488,0.243, 1.32e-01,  4,1.994,17.922783, 2.399096,0,0.84
166.85402886427,-59.82498591295,2.4858,0.0787,-17.739,0.091,4.262,0.08, 1.56e-02,  0,1.06,17.364860, 2.409720,0,0.84
166.83018237687,-59.82097087453,1.6662,0.1341,-12.842,0.187,-1.708,0.369, 1.25e-01,  2,0.998,17.414663,         ,0,0.8
166.82966220587,-59.82098912946,1.7551,0.0352,-12.889,0.04,-1.828,0.034, 9.16e-03, 48,1.182,15.485327, 1.549348,0,0.84
166.98696238445,-59.82479499781,1.9833,0.054,-10.003,0.067,5.113,0.056, 1.12e-02,  1,1.017,16.934720, 1.982676,0,0.84
166.96143483844,-59.79476424922,2.2229,0.0644,-8.957,0.074,21.901,0.063, 2.31e-02,  0,0.99,17.324322, 2.339598,0,0.56
166.97870330294,-59.74955717533,2.4619,0.0102,-15.905,0.011,6.705,0.01, 2.27e-02,  0,0.894,12.494288, 0.876465,0,0.84
166.96037826088,-59.75193314972,2.1868,0.0539,-10.42,0.059,4.907,0.053, 1.70e-02,  0,1.008,17.002453, 2.143774,0,0.84
166.91192537788,-59.80586385259,1.5295,0.0109,-10.35,0.013,2.449,0.011, 2.20e-02,  0,0.85,13.057707, 0.783361,0,0.98
166.87428256569,-59.78235490999,4.4786,0.682,0.679,0.68,2.953,0.675, 2.54e-01, 35,8.034,17.491917,         ,0,0.7
166.9045241829,-59.78787175447,1.4735,0.0474,-14.028,0.052,3.947,0.047, 2.26e-02,  0,2.535,11.366689, 0.522661,1,0.78
166.79953014209,-59.76072538596,2.3298,0.6108,-8.212,0.639,-0.93,0.609, 1.67e-01, 62,7.073,17.298983, 1.292408,0,0.64
166.91307433987,-59.74352668914,1.3811,0.0586,-20.126,0.068,-0.56,0.057, 5.59e-03,  0,0.967,17.011970, 1.821146,0,0.58
166.90897714515,-59.74198941125,1.8543,0.0936,-9.445,0.102,10.934,0.094, 5.52e-03,  0,1.043,17.876290, 2.479265,0,0.8
166.89581308968,-59.74387335389,2.0019,0.0373,-10.414,0.041,4.919,0.037, 8.58e-03,  0,0.978,16.275824, 1.818151,0,0.84
167.82664950396,-60.00031497903,1.0239,0.0172,-24.227,0.018,-4.926,0.018, 1.13e-02,  0,0.929,14.270862, 0.801418,0,0.58
167.85669455471,-59.99905087423,1.61,0.6653,-9.269,0.7,2.295,0.688, 1.58e-01,  9,11.245,16.978508, 1.400080,0,0.6
167.86822957651,-59.98753269852,1.4628,0.012,-13.299,0.012,3.611,0.012, 1.35e-02,  0,0.875,13.067765, 0.731208,0,0.92
