ra,dec,Source,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,IPDgofha,IPDfmp,ruwe,phot_g_mean_mag,bp_rp,VarFlag,NSS,Dist,prob
21.53191687207,85.56960289859,573868447483238656,0.9139,0.0805,0.992,0.095,6.085,0.111,0.0181,1,1.255,17.405857, 1.701849,NOT_AVAILABLE,0,1762.4745,0.72
21.52711185424,85.56975318629,573868451779236480,1.001,0.101,0.891,0.108,5.954,0.136,0.00997,0,0.958,17.788168,         ,NOT_AVAILABLE,0,,0.72
21.76600359867,85.649954637,573869173332302336,1.0237,0.3867,-1.521,0.462,6.373,0.542,0.00672,0,1.02,20.055794, 2.054071,NOT_AVAILABLE,0,,0.62
21.12955079156,85.60736830393,573869306476715648,0.6475,0.2161,0.451,0.265,7.025,0.276,0.019,0,1.023,19.181917, 2.108503,NOT_AVAILABLE,0,,0.72
21.38261896372,85.63943154806,573869826168020096,1.2634,1.7819,1.502,1.885,9.64,1.769,0.0889,0,1.045,20.744883, 1.962383,NOT_AVAILABLE,0,,0.5
19.03480573468,85.63471619887,573871887753650560,0.9251,0.4652,0.389,0.561,5.856,0.614,0.0368,53,2.548,19.168970, 1.069534,NOT_AVAILABLE,0,,0.62
19.56652063083,85.63176983837,573871956472534784,0.2053,0.0706,-2.71,0.081,6.549,0.09,0.01,0,0.994,17.589033, 0.972025,NOT_AVAILABLE,0,1657.7632,0.74
20.34534160493,85.66088902082,573872914248548352,0.5716,0.0938,0.405,0.112,9.619,0.127,0.0206,0,0.95,18.079657, 1.419844,NOT_AVAILABLE,0,1225.449,0.7
20.30774910371,85.66627400172,573872918545200512,0.7336,0.0348,-0.829,0.042,4.394,0.047,0.0177,0,1.023,16.263580, 1.098525,NOT_AVAILABLE,0,1241.896,0.64
20.94476155933,85.70759912002,573873223486204160,0.7955,0.3227,1.765,0.428,8.486,0.376,0.02,0,0.984,19.821310, 2.274944,NOT_AVAILABLE,0,,0.7
20.09927405085,85.72756308842,573874189855504640,0.4167,0.0947,-0.77,0.118,5.26,0.132,0.00999,0,0.959,18.047441, 1.336758,NOT_AVAILABLE,0,1082.5135,0.76
19.5493955698,85.7527427268,573874494796525952,0.4351,0.1106,-2.911,0.14,5.677,0.153,0.0133,0,1.022,18.270205, 1.450991,NOT_AVAILABLE,0,1187.1747,0.56
17.75688464668,85.51834452777,573875564244932992,0.5092,0.0376,0.742,0.043,7.163,0.048,0.0321,0,1.019,16.395023, 0.936999,NOT_AVAILABLE,0,1395.0083,0.72
17.30788028149,85.54930465752,573876453301561856,0.2809,0.3615,-2.628,0.454,5.298,0.413,0.108,1,1.291,19.580307, 1.849739,NOT_AVAILABLE,0,,0.54
17.90839638945,85.63439571832,573877831986120832,0.4956,0.4069,2.642,0.463,5.798,0.544,0.0309,0,1.046,20.008670, 1.883570,NOT_AVAILABLE,0,,0.56
15.97416197862,85.6373034438,573880782635368832,0.2983,0.1207,-1.289,0.151,6.25,0.157,0.0121,0,1.008,18.613870, 1.109066,NOT_AVAILABLE,0,1968.1117,0.74
15.98099371629,85.64928670105,573880885711365760,0.6283,0.2837,-0.18,0.363,4.823,0.373,0.00226,0,0.998,19.852388, 1.934300,NOT_AVAILABLE,0,,0.62
16.473172537,85.69062416222,573881744708051584,0.5312,0.2639,-2.238,0.297,6.626,0.321,0.00545,0,1.062,19.717997, 1.420582,NOT_AVAILABLE,0,,0.58
17.03449541533,85.68153911646,573881882140701824,0.6017,0.2472,-0.068,0.285,5.398,0.304,0.0154,0,1.033,19.635330, 1.896282,NOT_AVAILABLE,0,,0.74
16.70636461184,85.69301013652,573882126953405824,0.2528,0.1093,1.382,0.125,5.318,0.141,0.023,0,1.016,18.420933, 1.195494,NOT_AVAILABLE,0,1529.7379,0.6
16.70789973611,85.69397929916,573882161314681344,0.3646,0.0337,1.256,0.037,5.239,0.042,0.0262,0,1.01,16.312584, 0.864816,NOT_AVAILABLE,0,1902.2947,0.58
15.78359832908,85.68778029792,573882470552326016,0.4495,0.0263,-1.71,0.029,5.943,0.035,0.0127,1,0.999,15.778627, 0.865113,NOT_AVAILABLE,0,2128.9023,0.74
16.39281121337,85.75040065794,573883123385807872,0.596,0.3407,-0.512,0.396,11.326,0.457,0.0455,0,1.031,20.008660, 2.101820,NOT_AVAILABLE,0,,0.58
16.37807752262,85.75094346907,573883123387348736,0.8559,0.0462,-0.515,0.053,11.82,0.055,0.0111,0,1.018,16.911848, 1.548283,NOT_AVAILABLE,0,1056.9763,0.54
15.88132341936,85.74474312715,573883260825613824,0.0154,0.9135,0.259,1.39,9.291,1.592,0.0085,0,0.965,20.708542, 1.411800,NOT_AVAILABLE,0,,0.66
