ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,IPDgofha,IPDfmp,ruwe,phot_g_mean_mag,bp_rp,VarFlag,NSS,RAJ2000,DEJ2000,prob
132.81555603724,10.55066206984,1.0702,0.3281,-30.947,0.34,-9.54,0.218, 1.17e-01,  0,2.875,17.663252, 2.183248,NOT_AVAILABLE,0,132.81569594311, 10.55070447089,0.54
132.6774376944,10.47491169391,1.4146,0.1061,-24.392,0.112,-13.398,0.078, 2.96e-02,  1,0.995,17.586231, 1.926752,NOT_AVAILABLE,0,132.67754793971, 10.47497123920,0.8
132.65967535117,10.53087943153,2.8856,0.2287,-13.517,0.23,-1.04,0.154, 1.63e-02,  0,0.932,18.649136, 2.630756,NOT_AVAILABLE,0,132.65973645399, 10.53088405590,0.72
132.77032745743,10.57819145198,1.2337,0.0641,-19.138,0.066,-3.259,0.046, 3.40e-02,  0,1.027,16.616385, 1.376420,NOT_AVAILABLE,0,132.77041398507, 10.57820593831,0.54
132.76662130093,10.59348398821,1.938,0.8837,-19.125,0.993,-7.079,0.837, 3.73e-02,  0,1.088,20.338367,         ,NOT_AVAILABLE,0,132.76670777646, 10.59351545212,0.74
132.71208722243,10.63888791937,1.4855,0.4646,-22.758,0.45,11.023,0.342, 3.24e-02,  0,1.002,19.673594, 2.475952,NOT_AVAILABLE,0,132.71219013632, 10.63883892810,0.92
132.88882552083,10.62683271832,4.1719,0.084,-12.97,0.092,-2.68,0.059, 4.76e-02,  0,1.016,17.163786, 2.914782,NOT_AVAILABLE,0,132.88888417239, 10.62684462846,0.7
132.8809943781,10.64204456819,2.3255,0.1382,-13.136,0.154,4.022,0.113, 2.11e-02,  0,0.971,18.172970, 2.252876,VARIABLE     ,0,132.88105378239, 10.64202669295,0.64
133.0059609869,10.63759455826,2.9972,0.3278,-18.483,0.382,6.55,0.264, 3.16e-02,  0,1.077,19.358162, 2.609469,NOT_AVAILABLE,0,133.00604456861, 10.63756544803,0.92
132.7955449347,10.60246987227,3.0574,0.1048,-20.195,0.106,-9.417,0.072, 2.81e-02,  0,1.006,17.482391, 2.514290,NOT_AVAILABLE,0,132.79563624828, 10.60251172683,0.76
132.7956176806,10.69582075281,5.1872,0.3583,-39.924,0.355,56.76,0.253, 3.32e-02,  0,0.981,19.330826, 2.942654,NOT_AVAILABLE,0,132.79579825932, 10.69556848792,0.88
132.78407272093,10.69601200758,0.6069,0.6437,-22.712,0.638,-19.418,0.448, 5.71e-02,  0,1.003,20.236727, 1.589584,NOT_AVAILABLE,0,132.78417544901, 10.69609830983,0.52
132.86297207629,10.72364752616,2.6911,0.3795,-21.931,0.388,-9.95,0.271, 5.33e-02,  0,1.125,19.512989, 2.743174,NOT_AVAILABLE,0,132.86307127966, 10.72369174757,0.64
132.86773156761,10.77213294108,2.8423,0.0194,-22.846,0.02,25.251,0.015, 4.49e-02,  0,1.196,10.443895, 1.121539,NOT_AVAILABLE,0,132.86783492819, 10.77202071230,0.92
133.24985170486,10.58372979911,1.7168,0.3646,-21.477,0.382,0.138,0.303, 1.61e-02,  0,1.045,19.461227, 2.328119,NOT_AVAILABLE,0,133.24994880834, 10.58372918505,0.9
133.28244452478,10.59645016157,2.5069,0.1181,-16.176,0.122,-9.093,0.1, 1.76e-02,  0,0.977,17.715488, 2.618381,NOT_AVAILABLE,0,133.28251766757, 10.59649057522,0.76
133.20589472694,10.59341562778,4.2378,0.0159,-26.775,0.017,31.81,0.013, 2.30e-02,  0,1.016,12.693469, 1.026277,NOT_AVAILABLE,0,133.20601579185, 10.59327424782,0.88
133.24548616195,10.62029414773,1.1373,1.2247,-21.215,1.344,0.111,0.921, 2.14e-02,  0,1.113,20.579006, 2.005041,NOT_AVAILABLE,0,133.24558209384, 10.62029365315,0.66
133.36111450913,10.67917471428,3.0975,0.0338,-26.029,0.034,6.461,0.023, 2.17e-02,  0,0.917,15.096718, 1.783813,VARIABLE     ,0,133.36123223134, 10.67914599896,0.84
133.17672872442,10.691646652,2.7221,0.3918,-15.197,0.42,-15.83,0.32, 1.54e-01, 24,1.869,18.462576, 2.873371,NOT_AVAILABLE,0,133.17679746019, 10.69171700824,0.78
133.22089649828,10.71961476729,1.2868,0.1828,-25.339,0.206,1.26,0.155, 2.29e-02,  0,0.965,18.502556, 2.033228,NOT_AVAILABLE,0,133.22101111768, 10.71960916877,0.92
133.37191313207,10.71379340641,3.2435,0.0159,-17.072,0.016,-4.925,0.011, 2.82e-02,  1,0.957,12.627591, 0.887338,NOT_AVAILABLE,0,133.37199035208, 10.71381529419,0.86
133.47569311683,10.76595393414,1.781,0.041,-23.31,0.042,-6.851,0.027, 4.39e-02,  0,1.046,15.782509, 1.539255,NOT_AVAILABLE,0,133.47579857288, 10.76598438170,0.86
133.52877788609,10.85904375429,1.2285,0.3651,-27.712,0.333,4.391,0.225, 2.31e-02,  0,0.988,19.290913, 2.735813,NOT_AVAILABLE,0,133.52890329563, 10.85902423667,0.92
133.37791347566,10.78824152545,0.8747,0.11,-22.123,0.113,2.284,0.08, 1.86e-02,  0,0.991,17.701433, 1.545750,NOT_AVAILABLE,0,133.37801356925, 10.78823137576,0.88
133.35266042081,10.8958870508,3.0841,0.8864,-11.093,0.876,-0.359,0.724, 9.67e-02,  0,0.994,20.584864, 1.813873,NOT_AVAILABLE,0,133.35271062812, 10.89588864638,0.52
133.34902500187,10.89670716319,3.5273,0.2452,-10.992,0.239,-7.353,0.173, 2.97e-02,  0,1.002,18.774470, 2.921514,NOT_AVAILABLE,0,133.34907475352, 10.89673984181,0.7
133.37577235632,10.90294600191,1.4881,0.1491,-16.483,0.151,13.342,0.106, 3.86e-02,  0,1.055,18.022676, 2.071495,NOT_AVAILABLE,0,133.37584696041, 10.90288670548,0.78
133.10939128224,10.69455549089,1.285,0.0611,-19.701,0.071,1.781,0.054, 1.99e-02,  0,1.023,16.658482, 1.572044,NOT_AVAILABLE,0,133.10948038861, 10.69454757619,0.9
133.07157038152,10.77906212917,1.9306,0.1155,-14.214,0.133,-2.483,0.106, 1.84e-02,  0,0.994,17.786978, 2.465624,NOT_AVAILABLE,0,133.07163468825, 10.77907316304,0.76
133.01709092766,10.81353713788,2.3801,0.5993,-9.517,0.656,4.684,0.566, 3.27e-02,  0,1.039,20.351010, 2.349070,NOT_AVAILABLE,0,133.01713399136, 10.81351632169,0.5
133.00895037665,10.83197908355,2.9525,0.6768,-17.507,0.831,-14.948,0.8, 1.46e-02,  0,0.975,20.417110, 2.457449,NOT_AVAILABLE,0,133.00902959762, 10.83204551818,0.6
133.07127506145,10.81460652419,1.9919,0.2683,-14.191,0.277,-20.154,0.236, 3.88e-02,  0,0.936,19.074930, 2.599293,NOT_AVAILABLE,0,133.07133927416, 10.81469609596,0.68
133.23910605369,10.85215645287,1.9422,0.4993,-16.659,0.522,-23.606,0.398, 1.65e-02,  0,1.107,19.951698, 2.052378,NOT_AVAILABLE,0,133.23918144416, 10.85226136785,0.6
133.27629144244,10.85725040697,2.0292,0.0818,-14.845,0.084,2.441,0.06, 2.04e-02,  1,1.036,17.006577, 2.138798,NOT_AVAILABLE,0,133.27635862134, 10.85723955779,0.9
133.28431910543,10.88982499909,0.9465,0.0266,-17.975,0.027,-11.662,0.018, 2.39e-02,  0,1.001,14.602818, 0.854363,NOT_AVAILABLE,0,133.28440046144, 10.88987683086,0.56
133.23997058331,10.90746257648,2.3333,1.0395,-20.749,0.966,-11.023,0.636, 2.73e-03,  0,1.037,20.386078, 1.662924,NOT_AVAILABLE,0,133.24006449834, 10.90751156708,0.7
133.26803522047,10.90550408321,1.9893,0.0442,-12.392,0.043,-0.271,0.03, 2.88e-02,  0,0.94,15.735211, 1.643513,NOT_AVAILABLE,0,133.26809131120, 10.90550528738,0.6
133.23273571638,10.94521508746,14.5032,0.0154,25.891,0.015,111.493,0.011, 1.80e-02,  0,1.093,13.059783, 2.062604,NOT_AVAILABLE,0,133.23261851375, 10.94471955949,0.72
133.33833493488,10.92936605667,3.9685,0.3918,-11.783,0.364,11.526,0.28, 1.83e-01, 20,1.67,18.495747, 2.720140,NOT_AVAILABLE,0,133.33838827147, 10.92931482800,0.72
133.31855099191,10.94727414595,2.8588,0.0383,-22.296,0.036,-6.902,0.022, 1.89e-02,  0,0.977,15.098662, 1.895022,NOT_AVAILABLE,0,133.31865192187, 10.94730482028,0.8
133.18157273491,10.91271201089,1.2797,0.6444,-17.795,0.729,10.694,0.6, 6.07e-02,  0,1.094,20.187536, 2.102202,NOT_AVAILABLE,0,133.18165328002, 10.91266448236,0.82
133.17364178544,10.96635276967,1.4715,0.0527,-17.499,0.051,-3.472,0.04, 1.98e-02,  0,0.997,16.304949, 1.478958,NOT_AVAILABLE,0,133.17372100670, 10.96636820166,0.92
133.1329425223,10.95413316769,1.4524,0.0447,-16.596,0.048,1.514,0.039, 2.48e-02,  0,1.022,16.126617, 1.416242,NOT_AVAILABLE,0,133.13301764914, 10.95412643875,0.92
133.14520010316,10.96116183939,3.645,0.4244,-19.876,0.438,29.067,0.354, 2.50e-02,  0,0.989,19.850450, 0.494488,NOT_AVAILABLE,0,133.14529008192, 10.96103265117,0.84
133.15295820202,10.99426327302,1.3194,0.1721,-21.868,0.18,-11.45,0.133, 1.97e-02,  1,1.042,18.520264, 1.936869,NOT_AVAILABLE,0,133.15305721092, 10.99431416049,0.84
133.18890373999,10.99540924869,1.2592,0.2178,-18.633,0.223,-12.292,0.163, 2.92e-02,  0,0.997,18.862682, 2.435579,NOT_AVAILABLE,0,133.18898810359, 10.99546387797,0.9
133.19473068834,10.99623661934,2.3451,2.047,-18.298,1.811,-12.353,1.354, 4.57e-02,  0,1.179,20.844946, 1.729309,NOT_AVAILABLE,0,133.19481353526, 10.99629152185,0.56
132.5480736328,10.62634889584,2.5121,0.0893,-16.408,0.09,-0.215,0.065, 2.85e-02,  0,1.054,17.190708, 2.254135,NOT_AVAILABLE,0,132.54814783154, 10.62634985332,0.88
132.56180202684,10.66373582716,3.2096,0.9827,-15.111,1.032,20.091,0.767, 6.64e-02,  0,1.18,20.500847, 2.356813,NOT_AVAILABLE,0,132.56187036574, 10.66364653501,0.82
132.59382081391,10.68482964942,2.0154,0.2086,-20.307,0.213,-1.369,0.158, 2.58e-02,  0,1.044,18.611378, 2.389706,NOT_AVAILABLE,0,132.59391265895, 10.68483573545,0.9
132.76602372645,10.73671219877,2.3065,0.4691,-12.444,0.469,-3.037,0.325, 1.44e-02,  0,1.097,19.621548, 2.384476,NOT_AVAILABLE,0,132.76608001883, 10.73672569671,0.58
132.74494626008,10.7724781523,0.4473,1.635,-19.142,1.503,4.114,1.022, 8.64e-02,  0,1.152,         ,         ,NOT_AVAILABLE,0,132.74503286307, 10.77245986635,0.52
132.80251448641,10.73840165639,1.4888,0.0187,-23.079,0.019,-5.13,0.014, 3.71e-02,  0,0.985,14.073959, 0.952543,NOT_AVAILABLE,0,132.80261888836, 10.73842445856,0.86
132.84201410985,10.79162086616,3.2272,0.1053,-8.518,0.11,-12.255,0.08, 6.19e-02,  0,1.89,16.517342, 2.323680,NOT_AVAILABLE,0,132.84205264824, 10.79167533114,0.66
132.75928337468,10.83374728705,2.5563,0.0641,-30.989,0.069,5.171,0.05, 2.85e-02,  0,0.995,16.817915, 2.034030,NOT_AVAILABLE,0,132.75942360165, 10.83372430428,0.78
132.6172140082,10.74893237773,2.3126,0.7339,-13.313,0.744,-4.672,0.554, 4.27e-03,  0,1.042,20.141764, 2.208298,NOT_AVAILABLE,0,132.61727423598, 10.74895314335,0.7
132.6723194275,10.78699673075,2.2086,0.4799,-15.686,0.481,-4.525,0.36, 3.03e-02,  0,1.07,19.646828, 2.478956,NOT_AVAILABLE,0,132.67239039551, 10.78701683964,0.86
132.68715444617,10.78368365987,2.1973,0.3125,-19.886,0.325,14.784,0.238, 3.65e-02,  0,0.977,19.185810, 2.622948,NOT_AVAILABLE,0,132.68724441524, 10.78361795326,0.92
132.66800477547,10.78694393902,1.4896,0.0219,-17.893,0.022,-23.898,0.017, 2.56e-02,  0,1.111,14.154974, 1.030440,NOT_AVAILABLE,0,132.66808573270, 10.78705015360,0.68
132.63658370407,10.81034043799,2.5962,0.0232,-19.942,0.023,-10.859,0.018, 2.55e-02,  0,1.215,13.998049, 1.209469,NOT_AVAILABLE,0,132.63667393643, 10.81038869968,0.78
132.6356660753,10.80672970392,2.5678,0.0657,-19.487,0.065,-11.111,0.051, 3.29e-02,  0,1.094,16.468733, 2.005479,VARIABLE     ,0,132.63575424680, 10.80677908589,0.78
132.60291795528,10.8124620842,1.2458,0.0776,-17.137,0.076,-7.896,0.059, 3.91e-02,  0,0.923,16.846945, 1.461416,NOT_AVAILABLE,0,132.60299549740, 10.81249717854,0.64
